Stock_No,Name,Cost,Retail_Price,Quantity,Barcodes,Tags,Taxes,Tax_Exempt,Description,Enable_Decimal,Enable_Open_Price,Disable_Discount,Disable_Inventory,Supplier_Name,Supplier_List,Category_Name,Subcategory_Name,Status
28506,Star Margarine Reg 6/100g-P,0,172.1,0,4.81E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28508,Star Margarine Regular 10+2/30g-P,95.25,100,-230,4.81E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28510,Star Margarine Swt Blnd Twn10+2/30p,95.25,100,-51,4.81E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28512,White King Spag Sce Swt 2/900g-P,0,109.35,0,4.80E+12,"NOODLE, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28514,White King Spag Sce Cheese 2/900g-P,0,114.3,0,4.80E+12,"NOODLE, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28516,Choco Hero Chcmlt Mlkdk 8+4/24g-P,0,59.9,0,7.48E+11,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28518,Axion Paste Lime(Klmnsi) 2/350g-P,0,88.1,0,4.81E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28520,Axion Paste Lemon 2/350g-P,0,88.1,0,4.81E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28523,Colgate Plax Freshmint G 250ml-P,0,89.9,0,4.81E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28525,Colgate Tbrsh Zigzg Ad W/Cap 5s-P,0,204.05,0,4.81E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28527,Colgate Tbrsh Slmsft Adchrcl5/1s-P,0,346.85,0,4.81E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28529,Novellino Sprklng Strwbry Jce 750ml,0,223.95,0,4.81E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28531,Ligo Sardines Green Eoe 425g,0,60.6,0,4.80E+12,"CANNED GOODS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28533,Ligo Sardines Red Eoe 425g,0,61.55,0,4.80E+12,"CANNED GOODS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28535,Myra Soap Whitening Beauty 90g,0,33.2,0,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28537,Myra F.Wash Smooth Glow 50ml,0,74.05,0,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28539,Myra F.Moist Fresh Glow 40ml,0,104.55,0,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28541,Oishi 4x Corn Snack Cheese 85g,21.45,22.5,0,4.80E+12,"CHIPS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28543,Oishi 4x Corn Snack Bbq 85g,21.45,22.5,0,4.80E+12,"CHIPS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28545,Tentay Patis Pet 1l-P,0,60.2,0,4.81E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28547,Champion Pwd Fabcon 6+1/120g-P,85.83,90.1,-63,4.81E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28549,Champion Pwd Ctrs Frsh 6+1/120g-P,85.83,90.1,-32,4.81E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28551,Queen All Purpose Flour 400g,0,56.6,0,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28553,Queen Hotcake Mix 400g,0,67.15,0,4.80E+12,"SNACKS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28555,Bearbrand Strlzdmlk 6/200-P(Save18),123.36,129.55,-54,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28557,5960 Chill Spkd Sprt Apple 330ml,44.5,47.6,-24,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28559,5961 Chill Spkd Sprt Lmn Lme 330ml,44.5,47.6,-15,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28561,5962 Chill Spkd Sprt Lychee 330ml,44.5,47.6,-8,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28563,Nescafe Cof Classic 25g-P,17.13,18,-1182,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28565,Nestle Milk Chuckie 10/110ml-P,112.15,117.75,-30,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28568,Tender Care Pwd Jasmne Scnt 12/50,0,269.7,0,8.85E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28570,Family Alcohol 70% Iso(Spry) 50ml,0,26.5,0,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28572,Isha Anti Ingrown Nail Cutter 1S,0,59.75,0,2.02E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28574,Isha Cuticle Nipper (Medium) 1S,0,184.1,0,2.02E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28576,Isha Eyebrow Razors 3S,0,91.95,0,2.02E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28578,Isha Nail Brush 1S,0,22.85,0,2.02E+12,NON-FOOD,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28580,Knr Liq Seasoning Orig 12ml,5.22,5.5,-2,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28582,Knr Cubes Beef Pantry 3/60g-P,0,102.45,0,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28584,Knr Cubes Pork Pantry 3/60g-P,0,102.45,0,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28586,Vitakrtin Brzlnstrt Gld 11+1/24ml-P,0,56,0,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28588,Vitakrtin Color Shine R 11+1/24ml-P,53.35,56,-21,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28590,Vitakrtin Deep Rpr Blk 11+1/24ml-P,53.35,56,-22,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28592,Isha Square Tip Tweezers 1S,0,36.7,0,2.02E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28594,Isha Eyebrow Sharpener 1S,0,45.9,0,2.02E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28596,Isha Baby Fingernail Clippr Pnk 1s,0,45.9,0,2.02E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28598,Isha Hand Comb 2S,0,32.1,0,2.02E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28600,Isha Atomizer Bottles 2/30ml,0,55.1,0,2.02E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28602,Isha Pumice Stone 1S,0,36.7,0,2.02E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28604,Csk Cond Stndout Strt P 350ml-P,244.1,256.3,-1,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28606,Eskinol Micellarwtr Rose 200ml,0,130,0,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28613,Extra Joss Engrydrnk Grape 6/4(12g),0,44.65,0,8.99E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28617,1215h20 Everdy Batt Blk Aa1 1S,0,17.45,0,9.00E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28619,Champion Pwd Reg Sprcln 5+1/35g-P,0,27,-48,4.81E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28621,Csk Cond Lustre Rich Org 150ml,0,186.6,0,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28623,Csk Cond 3kertn Ult Colrev 300ml,0,379.5,0,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28625,Csk Tmnt Krtn Damage Rpr G 650ml,0,209.95,0,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28627,Csk Tmnt Krtn Rebond Strt P 650ml,0,209.95,0,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28629,Zesto Choc-O Drink Cute(Doy) 100ml,0,11.45,0,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28631,Aust Harvest Oats Q.Cook 500g,0,66.8,0,4.80E+12,"CEREAL, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28633,Knr Cup Hotmeals Beef Goto 35g,0,29.75,0,8.85E+12,"CEREAL, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28636,Cg-5kts Cg Nylon Ktchn Tools Set 5s,0,401.8,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28637,Cg-Wk25/Pw Cg Whistling Kettle 2.5l,0,716.4,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28638,Dp Oysterrific Oyster Sce 30g-P,0,5.4,-80,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28640,T100-34 Hg Vacuum Flask Stnlss 1l,0,510.6,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28641,T160-38 Hg Vacuum Flask Geom 1.6l,0,556.15,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28642,P-Reb220/V Hg Baking Dish Rec 2.2l,0,407.7,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28643,P-Rb150/V Hg Baking Dish Rnd 1.5l,0,407.7,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28644,P-Ovb120/V Hg Baking Dish Ovl 1.2l,0,335.65,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28645,P-Ovb180/V Hg Baking Dish Ovl 1.8l,0,407.7,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28646,B-P320ys Hg Caserole W/Lid Rec 3.2l,0,726.7,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28647,B-C170ys Hg Caserole W/Cvr Ovl 1.7l,0,397.4,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
